Date,Close/Last,Volume,Open,High,Low,Company
09/16/2024,"216,32",59357430,"216,54"," 217,22"," 213,92",Apple
09/13/2024,"222,50",36766620,"223,58"," 224,04"," 221,91",Apple
09/12/2024,"222,77",37498230,"222,50"," 223,55"," 219,82",Apple
09/11/2024,"222,66",44587070,"221,46"," 223,09"," 217,89",Apple
09/10/2024,"220,11",51591030,"218,92"," 221,48"," 216,73",Apple
09/09/2024,"220,91",67179970,"220,82"," 221,27"," 216,71",Apple
09/06/2024,"220,82",48423010,"223,95"," 225,24"," 219,77",Apple
09/05/2024,"222,38",36615400,"221,62"," 225,48"," 221,52",Apple
09/04/2024,"220,85",43840200,"221,66"," 221,78"," 217,48",Apple
09/03/2024,"222,77",50190570,"228,55"," 229,00"," 221,17",Apple
08/30/2024,"229,00",52990770,"230,19"," 230,40"," 227,48",Apple
08/29/2024,"229,79",51906300,"230,10"," 232,92"," 228,88",Apple
08/28/2024,"226,49",38052170,"227,92"," 229,86"," 225,68",Apple
08/27/2024,"228,03",35934560,"226,00"," 228,85"," 224,89",Apple
08/26/2024,"227,18",30602210,"226,76"," 227,28"," 223,89",Apple
08/23/2024,"226,84",38677250,"225,66"," 228,22"," 224,33",Apple
08/22/2024,"224,53",43695320,"227,79"," 228,34"," 223,90",Apple
08/21/2024,"226,40",34765480,"226,52"," 227,98"," 225,05",Apple
08/20/2024,"226,51",30299030,"225,77"," 227,17"," 225,45",Apple
08/19/2024,"225,89",40687810,"225,72"," 225,99"," 223,04",Apple
08/16/2024,"226,05",44340240,"223,92"," 226,83"," 223,65",Apple
08/15/2024,"224,72",46414010,"224,60"," 225,35"," 222,76",Apple
08/14/2024,"221,72",41960570,"220,57"," 223,03"," 219,70",Apple
08/13/2024,"221,27",44155330,"219,01"," 221,89"," 219,01",Apple
08/12/2024,"217,53",38028090,"216,07"," 219,51"," 215,60",Apple
08/09/2024,"216,24",42201650,"212,10"," 216,78"," 211,97",Apple
08/08/2024,"213,31",47161150,"213,11"," 214,20"," 208,83",Apple
08/07/2024,"209,82",63516420,"206,90"," 213,64"," 206,39",Apple
08/06/2024,"207,23",69660490,"205,30"," 209,99"," 201,07",Apple
08/05/2024,"209,27",119548600,"199,09"," 213,50"," 196,00",Apple
08/02/2024,"219,86",105568600,"219,15"," 225,60"," 217,71",Apple
08/01/2024,"218,36",62501000,"224,37"," 224,48"," 217,02",Apple
07/31/2024,"222,08",50036260,"221,44"," 223,82"," 220,63",Apple
